metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,35584,102760,7517,25.7213901578673,82.559569383541
Canny,10495,12917,32606,44.8274389202119,24.3497830676782
K-means,24196,1128220,18905,2.09958903729209,56.1379086332104
K-means color,25213,52728,17888,32.3488279596105,58.4974826570149
