metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,62140,80673,22369,43.5114450365163,73.5306298737413
Canny,26658,7760,57851,77.453657969667,31.5445692174798
K-means,49114,758801,35395,6.07910485632771,58.1168869587855
K-means color,48034,45312,36475,51.4580164120584,56.8389165650996
