metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,155959,185500,34438,45.6742976462767,81.9125301344034
Canny,71224,45574,119173,60.980496241374,37.4081524393767
K-means,108045,1967033,82352,5.20679222660546,56.7472176557404
K-means color,129065,106472,61332,54.7960617652428,67.7873075731235
