metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,25391,939,1947,96.4337257880744,92.8780452117931
Canny,15439,7886,11899,66.1907824222937,56.4745043529154
K-means,15152,31033,12186,32.8071884811086,55.4246835906065
K-means color,24862,3364,2476,88.0819102954723,90.9430097300461
