metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,97724,183433,29886,34.757804358419,76.5802053130632
Canny,37153,20677,90457,64.2452014525333,29.1144894600737
K-means,73310,1887021,54300,3.73967457536508,57.4484758247786
K-means color,73247,98040,54363,42.7627315558098,57.3991066530836
