metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,58235,2067,4552,96.5722529932672,92.7500915794671
Canny,34071,24897,28716,57.7787952787953,54.2644177934923
K-means,34735,80012,28052,30.2709439026728,55.3219615525507
K-means color,55818,8432,6969,86.8762645914397,88.9005685890391
