metodo,TP,FP,FN,Precision,Sensibilidad
Otsu,32844,1128,2605,96.6796185093607,92.6514147084544
Canny,18632,17011,16817,52.2739387818085,52.5600157973427
K-means,19583,48979,15866,28.562469006155,55.242743095715
K-means color,30956,5068,4493,85.9316011547857,87.325453468363
